"context" "target"
"effect_bundles_localised_title_xyy_roguelike_3	The" "Winner	false"
"effect_bundles_localised_description_xyy_roguelike_3	When" "you"
"mod_info_xyy_roguelike_3	When" "you"
"effect_bundles_localised_title_xyy_roguelike_4	It's" "All"
"effect_bundles_localised_description_xyy_roguelike_4	You" "are"
"mod_info_xyy_roguelike_4	All" "generals"
"effect_bundles_localised_title_xyy_roguelike_5	Agricultural	false" ""
"effect_bundles_localised_description_xyy_roguelike_5	Your" "food"
"mod_info_xyy_roguelike_5	" "In"
"effect_bundles_localised_title_xyy_roguelike_6	Commercial	false" ""
"effect_bundles_localised_description_xyy_roguelike_6	You" "can"
"mod_info_xyy_roguelike_6	In" "the"
"effect_bundles_localised_title_xyy_roguelike_7	Army" "Factory	false"
"effect_bundles_localised_description_xyy_roguelike_7	Decreased" "military"
"mod_info_xyy_roguelike_7	In" "the"
"effect_bundles_localised_title_xyy_roguelike_8	Aeon" "Come	false"
"effect_bundles_localised_description_xyy_roguelike_8	(5" "turns)"
"mod_info_xyy_roguelike_8	Pray" "a"
"effect_bundles_localised_title_xyy_roguelike_9	More" "Exp	false"
"effect_bundles_localised_description_xyy_roguelike_9	Generals" "can"
"mod_info_xyy_roguelike_9	[[b]]+200%[[/b]]" "Character"
"effect_bundles_localised_title_xyy_roguelike_10	Store" "Grain	false"
"effect_bundles_localised_description_xyy_roguelike_10	Increase" "force"
"mod_info_xyy_roguelike_10	[[b]]+30[[/b]]" "Supplies"
"effect_bundles_localised_title_xyy_roguelike_11	Train" "Troops	false"
"effect_bundles_localised_description_xyy_roguelike_11	Increase" "force"
"mod_info_xyy_roguelike_11	In" "the"
"effect_bundles_localised_title_xyy_roguelike_12	Force" "Service	false"
"effect_bundles_localised_description_xyy_roguelike_12	Decreased" "cost"
"mod_info_xyy_roguelike_12	In" "the"
"effect_bundles_localised_title_xyy_roguelike_13	Perfect" "Supply	false"
"effect_bundles_localised_description_xyy_roguelike_13	Forces" "can"
"mod_info_xyy_roguelike_13	In" "foreign"
"effect_bundles_localised_title_xyy_roguelike_14	Precious" "Speed	false"
"effect_bundles_localised_description_xyy_roguelike_14	Increased" "range"
"mod_info_xyy_roguelike_14	[[b]]+100%[[/b]]" "Campaign"
"effect_bundles_localised_title_xyy_roguelike_15	Just" "Minor"
"effect_bundles_localised_description_xyy_roguelike_15	Your" "generals"
"mod_info_xyy_roguelike_15	When" "a"
"effect_bundles_localised_title_xyy_roguelike_16	Young" "Man!	false"
"effect_bundles_localised_description_xyy_roguelike_16	The" "more"
"mod_info_xyy_roguelike_16	For" "every"
"effect_bundles_localised_title_xyy_roguelike_17	Elder" "Person	false"
"effect_bundles_localised_description_xyy_roguelike_17	The" "more"
"mod_info_xyy_roguelike_17	For" "every"
"effect_bundles_localised_title_xyy_roguelike_18	Powerful" "Army	false"
"effect_bundles_localised_description_xyy_roguelike_18	All" "forces"
"mod_info_xyy_roguelike_18	In" "the"
"effect_bundles_localised_title_xyy_roguelike_19	Plan" "B	false"
"effect_bundles_localised_description_xyy_roguelike_19	If" "you"
"mod_info_xyy_roguelike_19	If" "you"
"effect_bundles_localised_title_xyy_roguelike_20	Anti" "Corruption	false"
"effect_bundles_localised_description_xyy_roguelike_20	Decreased" "corruption"
"mod_info_xyy_roguelike_20	In" "the"
"effect_bundles_localised_title_xyy_roguelike_21	Get" "More	false"
"effect_bundles_localised_description_xyy_roguelike_21	You" "can"
"mod_info_xyy_roguelike_21	[[b]]+10[[/b]][[img:pooled_resource_credibility]][[/img]]" "when"
"effect_bundles_localised_title_xyy_roguelike_22	I'm" "Rich	false"
"effect_bundles_localised_description_xyy_roguelike_22	At" "the"
"mod_info_xyy_roguelike_22	At" "the"
"effect_bundles_localised_title_xyy_roguelike_23	Need" "Help?	false"
"effect_bundles_localised_description_xyy_roguelike_23	(5" "Turns)"
"mod_info_xyy_roguelike_23	Draw" "a"
"effect_bundles_localised_title_xyy_roguelike_24	Build" "Vigorously	false"
"effect_bundles_localised_description_xyy_roguelike_24	Your" "city"
"mod_info_xyy_roguelike_24	In" "the"
"effect_bundles_localised_title_xyy_roguelike_25	My" "Destiny	false"
"effect_bundles_localised_description_xyy_roguelike_25	(15" "turns)"
"mod_info_xyy_roguelike_25	Forced" "change"
"effect_bundles_localised_title_xyy_roguelike_26	Aspirations	false" ""
"effect_bundles_localised_description_xyy_roguelike_26	Our" "faction's"
"mod_info_xyy_roguelike_26	[[b]]+20[[/b]]" "Characters"
"effect_bundles_localised_title_xyy_roguelike_27	Volition	false" ""
"effect_bundles_localised_description_xyy_roguelike_27	All" "skill"
"mod_info_xyy_roguelike_27	In" "the"
"effect_bundles_localised_title_xyy_roguelike_28	Sharp" "Blades	false"
"effect_bundles_localised_description_xyy_roguelike_28	Increased" "Force"
"mod_info_xyy_roguelike_28	In" "the"
"effect_bundles_localised_title_xyy_roguelike_29	Phoenix" "Born	false"
"effect_bundles_localised_description_xyy_roguelike_29	Your" "characters"
"mod_info_xyy_roguelike_29	In" "the"
"effect_bundles_localised_title_xyy_roguelike_30	Cavalry" "Rampage	false"
"effect_bundles_localised_description_xyy_roguelike_30	The" "army's"
"mod_info_xyy_roguelike_30	In" "the"
"effect_bundles_localised_title_xyy_roguelike_31	Technological	false" ""
"effect_bundles_localised_description_xyy_roguelike_31	You" "can"
"mod_info_xyy_roguelike_31	You" "can"
"effect_bundles_localised_title_xyy_roguelike_32	Wo" "Long	false"
"effect_bundles_localised_description_xyy_roguelike_32	Zhuge" "Liang"
"mod_info_xyy_roguelike_32	Legendary" "strategist"
"effect_bundles_localised_title_xyy_roguelike_33	Harass" "Enemy	false"
"effect_bundles_localised_description_xyy_roguelike_33	If" "your"
"mod_info_xyy_roguelike_33	[[b]]-100[[/b]]" "Supplies"
"effect_bundles_localised_title_xyy_roguelike_34	Indomitable	false" ""
"effect_bundles_localised_description_xyy_roguelike_34	Increase" "the"
"mod_info_xyy_roguelike_34	In" "the"
"effect_bundles_localised_title_xyy_roguelike_35	Like" "a"
"effect_bundles_localised_description_xyy_roguelike_35	Forces" "can"
"mod_info_xyy_roguelike_35	In" "the"
"effect_bundles_localised_title_xyy_roguelike_36	Unexpected	false" ""
"effect_bundles_localised_description_xyy_roguelike_36	Force" "ambushes"
"mod_info_xyy_roguelike_36	In" "the"
"effect_bundles_localised_title_xyy_roguelike_37	Total" "Defeat	false"
"effect_bundles_localised_description_xyy_roguelike_37	After" "capturing"
"mod_info_xyy_roguelike_37	After" "capturing"
"effect_bundles_localised_title_xyy_roguelike_38	Fight" "or"
"effect_bundles_localised_description_xyy_roguelike_38	If" "the"
"mod_info_xyy_roguelike_38	If" "your"
"effect_bundles_localised_title_xyy_roguelike_39	Unstoppable	false" ""
"effect_bundles_localised_description_xyy_roguelike_39	When" "you"
"mod_info_xyy_roguelike_39	If" "you"
"effect_bundles_localised_title_xyy_roguelike_40	Civilization	false" ""
"effect_bundles_localised_description_xyy_roguelike_40	There's" "no"
"mod_info_xyy_roguelike_40	[[b]]-100%[[/b]]" "Corruption"
"effect_bundles_localised_title_xyy_roguelike_41	Capture	false" ""
"effect_bundles_localised_description_xyy_roguelike_41	If" "you"
"mod_info_xyy_roguelike_41	When" "you"
"effect_bundles_localised_title_xyy_roguelike_42	Invulnerable	false" ""
"effect_bundles_localised_description_xyy_roguelike_42	Your" "forces"
"mod_info_xyy_roguelike_42	[[b]]+100%[[/b]]" "Bleeding"
"effect_bundles_localised_title_xyy_roguelike_43	More" "Governor	false"
"effect_bundles_localised_description_xyy_roguelike_43	You" "can"
"mod_info_xyy_roguelike_43	[[b]]+2[[/b]]" "Available"
"effect_bundles_localised_title_xyy_roguelike_44	Unharmed	false" ""
"effect_bundles_localised_description_xyy_roguelike_44	Your" "generals"
"mod_info_xyy_roguelike_44	Your" "generals"
"effect_bundles_localised_title_xyy_roguelike_45	I'm" "not"
"effect_bundles_localised_description_xyy_roguelike_45	All" "generals"
"mod_info_xyy_roguelike_45	All" "generals"
"effect_bundles_localised_title_xyy_roguelike_46	Support	false" ""
"effect_bundles_localised_description_xyy_roguelike_46	Increased" "support"
"mod_info_xyy_roguelike_46	[[b]]+100%[[/b]]" "Reinforcement"
"effect_bundles_localised_title_xyy_roguelike_47	Special" "Arrows	false"
"effect_bundles_localised_description_xyy_roguelike_47	The" "force's"
"mod_info_xyy_roguelike_47	In" "the"
"effect_bundles_localised_title_xyy_roguelike_48	Modern" "City	false"
"effect_bundles_localised_description_xyy_roguelike_48	Your" "level"
"mod_info_xyy_roguelike_48	[[b]]-100%[[/b]]" "Building"
"effect_bundles_localised_title_xyy_roguelike_49	Live" "in"
"effect_bundles_localised_description_xyy_roguelike_49	Food" "production"
"mod_info_xyy_roguelike_49	+100%" "Food"
"effect_bundles_localised_title_xyy_roguelike_50	Mom's" "Treasure	false"
"effect_bundles_localised_description_xyy_roguelike_50	(1" "Turn)"
"mod_info_xyy_roguelike_50	You" "gain"
"effect_bundles_localised_title_xyy_roguelike_51	Stake" "All	false"
"effect_bundles_localised_description_xyy_roguelike_51	(1" "Turn)"
"mod_info_xyy_roguelike_51	You" "lose"
"effect_bundles_localised_title_xyy_roguelike_the_seven_kings	The" "Seven"
"effect_bundles_localised_description_xyy_roguelike_the_seven_kings	Get" "the"
"mod_info_xyy_roguelike_the_seven_kings	Gain" "all"
"effect_bundles_localised_title_xyy_roguelike_max_1	Option" "I	false"
"effect_bundles_localised_description_xyy_roguelike_max_1	Add" "a"
"mod_info_xyy_roguelike_max_1	[[b]]+1[[/b]]" "Optional"
"effect_bundles_localised_title_xyy_roguelike_max_2	Option" "II	false"
"effect_bundles_localised_description_xyy_roguelike_max_2	Add" "a"
"mod_info_xyy_roguelike_max_2	[[b]]+1[[/b]]" "Optional"
"effect_bundles_localised_title_xyy_roguelike_max_3	Option" "III	false"
"effect_bundles_localised_description_xyy_roguelike_max_3	Add" "a"
"mod_info_xyy_roguelike_max_3	[[b]]+1[[/b]]" "Optional"
"effect_bundles_localised_title_xyy_roguelike_max_4	Option" "IV	false"
"effect_bundles_localised_description_xyy_roguelike_max_4	Add" "a"
"mod_info_xyy_roguelike_max_4	[[b]]+1[[/b]]" "Optional"
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_1	Character" "I	false"
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_1	Add" "a"
"mod_info_xyy_roguelike_max_characte_browserr_1	[[b]]+1[[/b]]" "Character"
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_2	Character" "II	false"
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_2	Add" "a"
"mod_info_xyy_roguelike_max_character_browser_2	[[b]]+1[[/b]]" "Character"
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_3	Character" "III	false"
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_3	Add" "a"
"mod_info_xyy_roguelike_max_character_browser_3	[[b]]+1[[/b]]" "Character"
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_4	Character" "IV	false"
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_4	Add" "a"
"mod_info_xyy_roguelike_max_character_browser_4	[[b]]+1[[/b]]" "Character"
"effect_bundles_localised_title_xyy_roguelike_max_character_1	I'll" "Take"
"effect_bundles_localised_description_xyy_roguelike_max_character_1	You" "can"
"mod_info_xyy_roguelike_max_character_1	[[b]]+1[[/b]]" "Selectable"
"mod_xyy_roguelike_confirm	Resource:	false" ""
"mod_xyy_roguelike_confirm_wait	Settle...	false" ""
"campaign_diplomacy_treaty_availability_reasons_description_roguelike_mode	\\n[[col:red]]Hegemony" "mode"
"mission_text_text_treaty_components_war	(Optional)" "Choose"
"missions_localised_title_xyy_roguelike_mission_ready	Hegemony:" "Preparatory"
"missions_localised_description_xyy_roguelike_mission_ready	When" "you"
"effect_bundles_localised_title_xyy_roguelike_redraw_1	Try" "Again?	false"
"effect_bundles_localised_description_xyy_roguelike_redraw_1	You" "can"
"mod_info_xyy_roguelike_redraw_1	You" "can"
"missions_localised_title_xyy_roguelike_mission_easy	Hegemony:" "Destroy"
"missions_localised_description_xyy_roguelike_mission_easy	Destroy" "the"
"campaign_payload_ui_details_description_xyy_roguelike_mission_easy	[[img:pooled_resource_credibility]][[/img]]+100\\nExtra" "for"
"missions_localised_title_xyy_roguelike_mission_normal	Hegemony:" "Destroy"
"missions_localised_description_xyy_roguelike_mission_normal	Destroy" "the"
"campaign_payload_ui_details_description_xyy_roguelike_mission_normal	[[img:pooled_resource_credibility]][[/img]]+200\\nExtra" "for"
"missions_localised_title_xyy_roguelike_mission_hard	Hegemony:" "Destroy"
"missions_localised_description_xyy_roguelike_mission_hard	Destroy" "the"
"campaign_payload_ui_details_description_xyy_roguelike_mission_hard	[[img:pooled_resource_credibility]][[/img]]+400\\nExtra" "for"
"missions_localised_title_xyy_roguelike_mission_xyyhlyjf	Hegemony:" "Destroy"
"missions_localised_description_xyy_roguelike_mission_xyyhlyjf	As" "you"
"campaign_payload_ui_details_description_xyy_roguelike_mission_xyyhlyjf	Winning" "the"
"mod_xyy_character_roguelike_select	[[col:flavour]]Choose" "the"
"mod_xyy_character_roguelike_select_first	[[col:flavour]]Choose" "the"
"dilemmas_localised_title_roguelike_dilemma_first_select	Choose" "your"
"dilemmas_localised_description_roguelike_dilemma_first_select	Select" "your"
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemma_first_selectFIRST	Understand	false" ""
"missions_localised_title_xyy_roguelike_mission_boss	Hegemony:" "Fight"
"missions_localised_description_xyy_roguelike_mission_boss	My" "Lord,"
"missions_localised_title_xyy_roguelike_mission_boss_2	Hegemony:" "Fight"
"missions_localised_description_xyy_roguelike_mission_boss_2	My" "Lord,"
"missions_localised_title_xyy_roguelike_mission_boss_3	Hegemony:" "The"
"missions_localised_description_xyy_roguelike_mission_boss_3	My" "Lord,"
"incidents_localised_title_roguelike_info_ticket	Hegemony:" "Tips	false"
"incidents_localised_description_roguelike_info_ticket	Resources" "[[img:pooled_resource_credibility]][[/img]]"
"incidents_localised_title_xyy_roguelike_enemy_earth_1	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_1	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_earth_2	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_2	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_earth_3	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_3	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_earth_4	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_4	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_earth_5	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_5	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_earth_6	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_earth_6	Non-player" "faction"
"incidents_localised_title_xyy_roguelike_enemy_wood_1	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_1	Higher" "general"
"incidents_localised_title_xyy_roguelike_enemy_wood_2	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_2	Higher" "AI"
"incidents_localised_title_xyy_roguelike_enemy_wood_3	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_3	Higher" "AI"
"incidents_localised_title_xyy_roguelike_enemy_wood_4	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_4	Higher" "AI"
"incidents_localised_title_xyy_roguelike_enemy_wood_5	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_5	Higher" "AI"
"incidents_localised_title_xyy_roguelike_enemy_wood_6	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_wood_6	Highe" "AI"
"incidents_localised_title_xyy_roguelike_enemy_metal_1	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_1	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_metal_2	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_2	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_metal_3	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_3	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_metal_4	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_4	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_metal_5	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_5	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_metal_6	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_metal_6	Increased" "replenishment,"
"incidents_localised_title_xyy_roguelike_enemy_fire_1	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_1	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_2	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_2	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_3	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_3	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_4	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_4	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_5	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_5	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_6	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_fire_6	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n对近战、护盾、防护类型的武将会很不友好；\\n\\n敌军会非常惧怕远程杀伤，可利用远程单位快速击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_1	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_1	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_2	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_2	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_3	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_3	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_4	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_4	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_5	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_5	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"incidents_localised_title_xyy_roguelike_enemy_water_6	The" "Trend"
"incidents_localised_description_xyy_roguelike_enemy_water_6	非玩家派系武将解锁多种技能；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n敌方武将会掌握大量技能；\\n\\n敌方武将和部队作战能力较弱，可利用锁技能类型的武将击破敌军。	false" ""
"effect_bundles_localised_title_xyy_roguelike_52	Unstoppable	false" ""
"effect_bundles_localised_description_xyy_roguelike_52	Your" "general's"
"mod_info_xyy_roguelike_52	[[b]]+100%[[/b]]" "Base/AP"
"effect_bundles_localised_title_xyy_roguelike_53	Energetic	false" ""
"effect_bundles_localised_description_xyy_roguelike_53	Your" "generals"
"mod_info_xyy_roguelike_53	Your" "generals"
"effect_bundles_localised_title_xyy_roguelike_54	I'm" "Invisible	false"
"effect_bundles_localised_description_xyy_roguelike_54	Your" "generals"
"mod_info_xyy_roguelike_54	Your" "generals"
"effect_bundles_localised_title_xyy_roguelike_craft_weapons	Forging" "Weapon	false"
"effect_bundles_localised_description_xyy_roguelike_craft_weapons	(3" "Turns)"
"mod_info_xyy_roguelike_craft_weapons	Forge" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_armors	Crafting" "Armor	false"
"effect_bundles_localised_description_xyy_roguelike_craft_armors	(2" "Turns)"
"mod_info_xyy_roguelike_craft_armors	Craft" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_mounts	Training" "Horse	false"
"effect_bundles_localised_description_xyy_roguelike_craft_mounts	(4" "Turns)"
"mod_info_xyy_roguelike_craft_mounts	Tame" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_accessories	Explore" "Legend	false"
"effect_bundles_localised_description_xyy_roguelike_craft_accessories	(2" "Turns)"
"mod_info_xyy_roguelike_craft_accessories	Found" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_weapons_1	Forging" "Weapon	false"
"effect_bundles_localised_description_xyy_roguelike_craft_weapons_1	(3" "Turns)"
"mod_info_xyy_roguelike_craft_weapons_1	Forge" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_armors_1	Crafting" "Armor	false"
"effect_bundles_localised_description_xyy_roguelike_craft_armors_1	(2" "Turns)"
"mod_info_xyy_roguelike_craft_armors_1	Craft" "an"
"effect_bundles_localised_title_xyy_roguelike_craft_mounts_1	Training" "Horse	false"
"effect_bundles_localised_description_xyy_roguelike_craft_mounts_1	(4" "Turns)"
"mod_info_xyy_roguelike_craft_mounts_1	Tame" "a"
"effect_bundles_localised_title_xyy_roguelike_craft_accessories_1	Explore" "Legend	false"
"effect_bundles_localised_description_xyy_roguelike_craft_accessories_1	(2" "Turns)"
"mod_info_xyy_roguelike_craft_accessories_1	Found" "an"
"mod_xyy_roguelike_icon_no_building	You're" "missing"
"mod_xyy_roguelike_icon_stopped	:" "The"
"mod_xyy_store_main_message_craft	You" "got:"
"missions_localised_title_xyy_roguelike_kill_hlyjci_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjci_dark	Fallen" "Ganyu"
"campaign_payload_ui_details_description_kill_hlyjci_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjcj_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjcj_dark	Fallen" "Kafka"
"campaign_payload_ui_details_description_kill_hlyjcj_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjck_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjck_dark	Fallen" "Jingliu"
"campaign_payload_ui_details_description_kill_hlyjck_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjcm_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjcm_dark	Fallen" "Raiden"
"campaign_payload_ui_details_description_kill_hlyjcm_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjcn_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjcn_dark	The" "Fallen"
"campaign_payload_ui_details_description_kill_hlyjcn_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjcy_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjcy_dark	The" "Fallen"
"campaign_payload_ui_details_description_kill_hlyjcy_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjda_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjda_dark	The" "Fallen"
"campaign_payload_ui_details_description_kill_hlyjda_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjdi_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjdi_dark	The" "Fallen"
"campaign_payload_ui_details_description_kill_hlyjdi_dark	Character" "killed:"
"missions_localised_title_xyy_roguelike_kill_hlyjdf_dark	Hegemony:" "Defeat"
