"location"	"source"	"target"
"character_skills_localised_name_3k_main_skill_special_ability_fire_biduo"	"毁天灭地"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_biduo"	"终极技能"	""
"effects_description_3k_main_skill_biduo"	"技能：毁天灭地"	""
"unit_ability_types_onscreen_name_3k_main_ability_tiangang"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_tiangang"	"将军神威在世，全军无不为之振奋"	""
"unit_abilities_tooltip_text_3k_main_ability_tiangang"	"将军神威在世，全军无不为之振奋"	""
"unit_abilities_onscreen_name_3k_main_ability_tiangang"	"振奋"	""
"special_ability_phases_onscreen_name_3k_main_ability_tiangang"	"振奋"	""
"character_skills_localised_name_3k_main_skill_special_ability_metal_tiangang"	"振奋"	""
"character_skills_localised_description_3k_main_skill_special_ability_metal_tiangang"	"终极技能"	""
"effects_description_3k_main_skill_tiangang"	"技能：振奋"	""
"unit_ability_types_onscreen_name_3k_main_ability_meiying"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_meiying"	"射出强劲的气波，对命中的单位造成伤害"	""
"unit_abilities_tooltip_text_3k_main_ability_meiying"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_meiying"	"樱·月断"	""
"special_ability_phases_onscreen_name_3k_main_ability_meiying"	"樱·月断"	""
"character_skills_localised_name_3k_main_skill_special_ability_wood_meiying"	"樱·月断"	""
"character_skills_localised_description_3k_main_skill_special_ability_wood_meiying"	"射出强劲的气波，对命中的单位造成伤害"	""
"effects_description_3k_main_skill_meiying"	"技能：樱·月断"	""
"unit_ability_types_localised_description_3k_main_ability_the_zhuge_liang_skill_1"	"八卦阵"	""
"unit_ability_types_onscreen_name_3k_main_ability_the_zhuge_liang_skill_1"	"被动增益"	""
"unit_abilities_tooltip_text_3k_main_ability_the_zhuge_liang_skill_1"	"功盖三分国，名成八阵图。"	""
"character_skills_localised_name_3k_main_ability_the_zhuge_liang_skill_1"	"八卦阵"	""
"special_ability_phases_onscreen_name_3k_main_ability_the_zhuge_liang_skill_1"	"八卦阵"	""
"unit_abilities_onscreen_name_3k_main_ability_the_zhuge_liang_skill_1"	"八卦阵"	""
"unit_ability_types_localised_description_3k_main_ability_the_zhuge_liang_skill_2"	"舌战群儒"	""
"unit_ability_types_onscreen_name_3k_main_ability_the_zhuge_liang_skill_2"	"被动减益"	""
"unit_abilities_tooltip_text_3k_main_ability_the_zhuge_liang_skill_2"	"诸葛亮舌战群儒，鲁子敬力排众议"	""
"character_skills_localised_name_3k_main_ability_the_zhuge_liang_skill_2"	"舌战群儒"	""
"special_ability_phases_onscreen_name_3k_main_ability_the_zhuge_liang_skill_2"	"舌战群儒"	""
"unit_abilities_onscreen_name_3k_main_ability_the_zhuge_liang_skill_2"	"舌战群儒"	""
"character_skills_localised_name_3k_main_skill_special_ability_water_sight_of_the_dragon_zhuge_liang"	"八卦阵"	""
"effects_description_3k_main_skill_the_zhuge_liang_skill_1"	"技能：八卦阵"	""
"effects_description_3k_main_skill_the_zhuge_liang_skill_2"	"技能：舌战群儒"	""
"dilemmas_localised_title_mingyuewujiang_01"	"集市偶遇"	""
"dilemmas_localised_description_mingyuewujiang_01"	"[[col:dark_grey]]日正当午，顿觉口渴，就近茶馆买茶，只听一声温柔的呼唤。\\n回身望去，只见一位长发如瀑，肌肤白皙，双腿笔直修长，身材匀称完美，容貌惊为天人的女子正在招呼你过去。正当你打算前去一探究竟，三名异域高人将你拦下。[[/col]]\\n\\n高人曰：「我等正欲投靠明主，抵抗摆渡一念对中原之荼毒，请问可否一谈？」\\n\\n我问道：「前座有一女，亦是尔等同行之人？」\\n\\n高人答曰：「非也！此女子有[[col:blue]]祸国殃民之像[[/col]]，切莫与之纠葛。」\\n"	""
"cdir_events_dilemma_choice_details_localised_choice_title_mingyuewujiang_01FOURTH"	"高人：「甚好，主公请携我等三人共去府上。」"	""
"cdir_events_dilemma_choice_details_localised_choice_title_mingyuewujiang_01THIRD"	"你只觉是喊错人，打道回府，没有理会呼唤之人是谁"	""
"cdir_events_dilemma_choice_details_localised_choice_title_mingyuewujiang_01SECOND"	"我没有理会高人所言，径直前往女子桌前。"	""
"cdir_events_dilemma_choice_details_localised_choice_title_mingyuewujiang_01FIRST"	"我说：「无妨，四位不如共同到吾府上一叙。」"	""
"cdir_events_dilemma_choice_details_localised_choice_label_mingyuewujiang_01FOURTH"	"招募高人"	""
"cdir_events_dilemma_choice_details_localised_choice_label_mingyuewujiang_01THIRD"	"不理会"	""
"cdir_events_dilemma_choice_details_localised_choice_label_mingyuewujiang_01SECOND"	"招募女子"	""
"ui_character_assignments_localised_title_tongfang"	"同房"	""
"effects_description_3k_dummy_effect_assignment_unlock_tongfang"	"解锁差事：同房"	""
"campaign_payload_ui_details_description_yaomingyue"	"你决定慷慨地赏赐姚明月…"	""
"cdir_events_dilemma_choice_details_localised_choice_label_mingyuewujiang_01FIRST"	"招募四人"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A1shijianFIRST"	"呼叫侍卫！"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A1shijianSECOND"	"保护姚明月"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A1shijianSECOND"	"由于时间紧迫，你与刺客展开搏斗，刺客负伤而逃，你也身负重伤，倒地不起。"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A1shijianFIRST"	"护卫赶来，你也受到了一些刀伤，但并不致命，最终，刺客负伤逃跑。"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A1shijianTHIRD"	"逃离现场"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A1shijianTHIRD"	"混乱中，你得以脱身，毕竟刺客并不是冲你而来。"	""
"dilemmas_localised_title_A1shijian"	"刺客夜袭"	""
"dilemmas_localised_description_A1shijian"	"[[col:dark_grey]]夜深之时，忽闻帐外窸窣作响，你警觉起来。此时，帐门忽然打开，进来一人，原来是姚明月。[[/col]]\\n\\n姚明月道：「主公日夜研读兵法，甚是辛苦，小女子刚沏一壶清茶，还请主公笑纳。」\\n\\n我笑道：「明月不必多礼，与吾同饮便可。」\\n\\n姚明月道：「此乃名贵药茶，明月岂能饮之？」\\n\\n我正欲饮之，忽闻账外士兵大喊：「有刺客！」\\n\\n霎时，三名黑衣人冲进营帐，大喊道：「主公莫饮！」随即与众人展开搏斗，意欲夺取姚明月性命。"	""
"ceo_nodes_title_A1good"	"姚明月事件"	""
"ceo_nodes_title_A2good"	"姚明月事件"	""
"ceo_nodes_title_A3good"	"姚明月事件"	""
"ceo_nodes_title_A4good"	"姚明月事件"	""
"ceo_nodes_title_A5good"	"姚明月事件"	""
"ceo_nodes_title_B1good"	"姚明月事件"	""
"ceo_nodes_title_B2good"	"姚明月事件"	""
"ceo_nodes_title_B3good"	"姚明月事件"	""
"ceo_nodes_title_B5good"	"姚明月事件"	""
"ceo_nodes_title_C1good"	"姚明月事件"	""
"ceo_nodes_title_C2good"	"姚明月事件"	""
"ceo_nodes_title_C3bad"	"姚明月事件"	""
"ceo_nodes_title_C4bad"	"姚明月事件"	""
"ceo_nodes_title_D2good"	"姚明月事件"	""
"ceo_nodes_title_yundong2"	"姚明月事件"	""
"ceo_nodes_title_yundong3"	"姚明月事件"	""
"ceo_nodes_title_yundong4"	"姚明月事件"	""
"ceo_nodes_title_yundonga"	"姚明月事件"	""
"ceo_nodes_title_yundonga2"	"姚明月事件"	""
"ceo_nodes_title_yundonga3"	"姚明月事件"	""
"ceo_nodes_title_yundonga4"	"姚明月事件"	""
"ceo_nodes_title_yundongb"	"姚明月事件"	""
"ceo_nodes_title_yundongb2"	"姚明月事件"	""
"ceo_nodes_title_yundongb3"	"姚明月事件"	""
"ceo_nodes_title_yundongb4"	"姚明月事件"	""
"ceo_nodes_title_yundongc"	"姚明月事件"	""
"ceo_nodes_title_yundongc2"	"姚明月事件"	""
"ceo_nodes_title_yundongc3"	"姚明月事件"	""
"ceo_nodes_title_yundongc4"	"姚明月事件"	""
"ceo_nodes_description_A1good"	"姚明月事件"	""
"ceo_nodes_description_A2good"	"姚明月事件"	""
"ceo_nodes_description_A3good"	"姚明月事件"	""
"ceo_nodes_description_A4good"	"姚明月事件"	""
"ceo_nodes_description_A5good"	"姚明月事件"	""
"ceo_nodes_description_B1good"	"姚明月事件"	""
"ceo_nodes_description_B2good"	"姚明月事件"	""
"ceo_nodes_description_B3good"	"姚明月事件"	""
"ceo_nodes_description_B5good"	"姚明月事件"	""
"ceo_nodes_description_C1good"	"姚明月事件"	""
"ceo_nodes_description_C2good"	"姚明月事件"	""
"ceo_nodes_description_C3bad"	"姚明月事件"	""
"ceo_nodes_description_C4bad"	"姚明月事件"	""
"ceo_nodes_description_D2good"	"姚明月事件"	""
"ceo_nodes_description_yundong2"	"姚明月事件"	""
"ceo_nodes_description_yundong3"	"姚明月事件"	""
"ceo_nodes_description_yundong4"	"姚明月事件"	""
"ceo_nodes_description_yundonga"	"姚明月事件"	""
"ceo_nodes_description_yundonga2"	"姚明月事件"	""
"ceo_nodes_description_yundonga3"	"姚明月事件"	""
"ceo_nodes_description_yundonga4"	"姚明月事件"	""
"ceo_nodes_description_yundongb"	"姚明月事件"	""
"ceo_nodes_description_yundongb2"	"姚明月事件"	""
"ceo_nodes_description_yundongb3"	"姚明月事件"	""
"ceo_nodes_description_yundongb4"	"姚明月事件"	""
"ceo_nodes_description_yundongc"	"姚明月事件"	""
"ceo_nodes_description_yundongc2"	"姚明月事件"	""
"ceo_nodes_description_yundongc3"	"姚明月事件"	""
"ceo_nodes_description_yundongc4"	"姚明月事件"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A2shijianFIRST"	"自己换药"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A2shijianSECOND"	"让她换药"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A2shijianSECOND"	"你让姚明月帮你上药，她帮你上好药后，非常专业的重新包扎好。"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A2shijianFIRST"	"你准备自己上药，但因为一个不慎，伤口裂开，刺骨的疼痛袭来，你再次晕倒过去。"	""
"dilemmas_localised_title_A2shijian"	"探望伤情"	""
"dilemmas_localised_description_A2shijian"	"[[col:dark_grey]]刺杀事件已过多时，你正在养伤。一日，姚明月来访了。[[/col]]\\n\\n我：「小伤无妨，不必特来探望。」\\n\\n姚明月道：「主公为我而伤，我岂能不来。。我不管。我只想看看你」\\n\\n此时，伤口疼痛再次发作，是时候换药了。"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B2shijianFIRST"	"不必换药"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B2shijianSECOND"	"让她换药"	""
"cdir_events_dilemma_choice_details_localised_choice_title_B2shijianSECOND"	"你让姚明月帮你上药，她帮你上好药后，非常专业的重新包扎好"	""
"cdir_events_dilemma_choice_details_localised_choice_title_B2shijianFIRST"	"由于只是受到了轻伤，你选择不上药"	""
"dilemmas_localised_title_B2shijian"	"探望伤情"	""
"dilemmas_localised_description_B2shijian"	"[[col:dark_grey]]刺杀事件已过多时，你正在养伤。一日，姚明月来访了。[[/col]]\\n\\n我：「小伤无妨，不必特来探望。」\\n\\n姚明月道：「虽是小伤，仍不可大意。注意恢复，莫要逞强。」\\n\\n此时，医师前来提醒，是时候换药了。"	""
"cdir_events_dilemma_choice_details_localised_choice_label_C2shijianFIRST"	"搪塞敷衍"	""
"cdir_events_dilemma_choice_details_localised_choice_label_C2shijianSECOND"	"慷慨赏赐"	""
"cdir_events_dilemma_choice_details_localised_choice_title_C2shijianSECOND"	"你决定慷慨地赏赐姚明月…姚明月非常高兴，神神秘秘的跑开了"	""
"cdir_events_dilemma_choice_details_localised_choice_title_C2shijianFIRST"	"你以近日军费紧张为由，拒绝了她，姚明月悻悻而走"	""
"dilemmas_localised_title_C2shijian"	"购置新衣"	""
"dilemmas_localised_description_C2shijian"	"[[col:dark_grey]]刺杀事件已过多时。姚明月来访，你才得知当时刺客已被赶跑，姚明月并无大碍，只是在打斗中将衣物撕坏。[[/col]]\n\n姚明月问道：「主公，明月现今身无分文，打斗中也扯坏了衣裳，还请主公赏金五万两，购置新衣，不知可否？」"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A3shijianFIRST"	"烤给姚明月吃"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A3shijianSECOND"	"将野兔放生"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A3shijianSECOND"	"你将野兔放生了，姚明月看着跑远的野兔出神，若有所思"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A3shijianFIRST"	"姚明月：很好吃，我这一生中吃过最好吃的东西，就是你现在烤的这只兔子"	""
"dilemmas_localised_title_A3shijian"	"行军狩猎"	""
"dilemmas_localised_description_A3shijian"	"[[col:dark_grey]]一日，你随军狩猎，但今日似乎运气不佳，猎物尽数逃之。天色渐晚，只有一只野兔误打误撞被你捕获。[[/col]]\\n\\n我不解道：「打了半日，只抓到一只兔子，孤是不是太笨了。」\\n\\n姚明月：「你哪里会笨了？你聪明的紧！你这个人看似木讷，其实善良的很。」\\n\\n我道：「虽说如此，我等应如何处置此兔？」\\n\\n姚明月：「你饿不饿，若是不饿的话，不如放了它吧，也不用枉造杀孽。」"	""
"ceo_nodes_title_B4good"	"姚明月事件"	""
"ceo_nodes_description_B4good"	"姚明月事件"	""
"ceo_nodes_title_B6good"	"姚明月事件"	""
"ceo_nodes_description_B6good"	"姚明月事件"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B3shijianFIRST"	"将野兔放生"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B3shijianSECOND"	"带回营地"	""
"cdir_events_dilemma_choice_details_localised_choice_title_B3shijianSECOND"	"你将野兔带回营寨，分与众将士"	""
"cdir_events_dilemma_choice_details_localised_choice_title_B3shijianFIRST"	"你将野兔放生了，姚明月看着跑远的野兔出神，若有所思"	""
"dilemmas_localised_title_B3shijian"	"行军狩猎"	""
"dilemmas_localised_description_B3shijian"	"[[col:dark_grey]]一日，你随军狩猎，但今日似乎运气不佳，猎物尽数逃之。天色渐晚，只有一只野兔误打误撞被你捕获。[[/col]]\\n\\n我不解道：「打了半日，只抓到一只兔子，孤是不是太笨了。」\\n\\n姚明月：「你哪里会笨了？你聪明的紧！你这个人看似木讷，其实善良的很。」\\n\\n我道：「虽说如此，我等应如何处置此兔？」\\n\\n姚明月：「你饿不饿，若是不饿的话，不如放了它吧，也不用枉造杀孽。」"	""
"cdir_events_dilemma_choice_details_localised_choice_label_C3shijianFIRST"	"急唤守卫"	""
"cdir_events_dilemma_choice_details_localised_choice_label_C3shijianSECOND"	"慌忙逃跑"	""
"cdir_events_dilemma_choice_details_localised_choice_title_C3shijianSECOND"	"逃跑不及，你痛失一臂，鲜血淋漓，当守卫赶到，刺客见势不妙，逃之夭夭。"	""
"cdir_events_dilemma_choice_details_localised_choice_title_C3shijianFIRST"	"你急唤守卫，守卫与刺客展开搏斗，然不敌对手，手臂被当场砍下一支，鲜血淋漓。所幸卫兵及时赶到，刺客见势不妙，逃之夭夭。"	""
"dilemmas_localised_title_C3shijian"	"暗夜刺杀「坏结局」"	""
"dilemmas_localised_description_C3shijian"	"[[col:dark_grey]]吃完晚饭后，你顿觉晕眩不止，此时一道黑衣倩影出现在你身前，手持利刃。[[/col]]"	""
"cdir_events_dilemma_choice_details_localised_choice_label_D3shijianFIRST"	"急唤守卫"	""
"cdir_events_dilemma_choice_details_localised_choice_label_D3shijianSECOND"	"慌忙逃跑"	""
"cdir_events_dilemma_choice_details_localised_choice_title_D3shijianSECOND"	"逃跑不及，你当场毙命。"	""
"cdir_events_dilemma_choice_details_localised_choice_title_D3shijianFIRST"	"你唤来贴身侍卫，侍卫与刺客展开搏斗，然不敌对手，当场毙命"	""
"dilemmas_localised_title_D3shijian"	"暗夜刺杀「最坏结局」"	""
"dilemmas_localised_description_D3shijian"	"[[col:dark_grey]]海边月下，只听人念道：「看海看多了想见人，见人见多了想看海。」\\n你闻声赶去，原来是姚明月在喃喃自语。[[/col]]\\n\\n明月道：「我自小被抛弃，被养父收养养大，有时候觉得连归宿之地都无法选择的自己是如此滑稽」\\n\\n我道：「你受苦了」\\n\\n明月：「不是的，我没有受苦，你不知道，这世上真正苦的，都是在人的心里。你有被人背叛过吗？」\\n\\n我道：「莫非，是你？」\\n\\n姚明月叹道：「人只会被朋友背叛，敌人是永远都没有出卖和背叛的机会的。」\\n\\n此时月下的她容颜空灵清绝,临风而立,青丝飞扬 ，说着她走进了海里，在波浪中背对着我停下了脚步。"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A4shijianFIRST"	"感同身受"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A4shijianTHIRD"	"亲吻她"	""
"cdir_events_dilemma_choice_details_localised_choice_label_A4shijianSECOND"	"拥抱她"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A4shijianSECOND"	"你上前拥抱了她，她仿佛一具没有灵魂的肉身，怅然若失"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A4shijianTHIRD"	"你上前亲吻了她，她仿佛一具没有灵魂的肉身，怅然若失"	""
"cdir_events_dilemma_choice_details_localised_choice_title_A4shijianFIRST"	"你表示感同身受，陪着她，在这月色下，沉默许久"	""
"dilemmas_localised_title_A4shijian"	"夜下闲谈"	""
"dilemmas_localised_description_A4shijian"	"[[col:dark_grey]]海边月下，只听人念道：「看海看多了想见人，见人见多了想看海。」\\n你闻声赶去，原来是姚明月在喃喃自语。[[/col]]\\n\\n明月道：「我自小被抛弃，被养父收养养大，有时候觉得连归宿之地都无法选择的自己是如此滑稽」\\n\\n我道：「你受苦了」\\n\\n明月：「不是的，我没有受苦，你不知道，这世上真正苦的，都是在人的心里。你有被人背叛过吗？」\\n\\n我道：「莫非，是你？」\\n\\n姚明月叹道：「人只会被朋友背叛，敌人是永远都没有出卖和背叛的机会的。」\\n\\n此时月下的她容颜空灵清绝,临风而立,青丝飞扬 ，说着她走进了海里，在波浪中背对着我停下了脚步。"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B4shijianFIRST"	"亲吻她"	""
"cdir_events_dilemma_choice_details_localised_choice_label_B4shijianSECOND"	"拥抱她"	""
"cdir_events_dilemma_choice_details_localised_choice_title_B4shijianSECOND"	"你上前拥抱了她，她仿佛一具没有灵魂的肉身，怅然若失"	""
